,dataSetName,TSid,lat,lon,seasonality_array,season,units,archive,PSM,Corr_prior,Corr_recon,Corr_diff
58,LakeCochise.Waters.1989,pdRNyQeqaj6PkSQYY4b,32.17,250.13,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,m,Shoreline,get_LakeStatus,0.5109031632332661,0.5107676039460234,-0.00013555928724273691
59,CrookedPond.Shuman.2001,pdRFvsGhWnaWLNCJZOB,41.89,289.35,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,m,LakeSediment,get_LakeStatus,-0.3530597563051625,0.3271915853452918,0.6802513416504543
60,DuncanLake.Shuman.2016,pdRiNPVIQECAx9xVLKu,44.648,252.554,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,m,LakeSediment,get_LakeStatus,-0.6783458390948678,-0.22521709082803135,0.45312874826683647
61,White.Watts.1980a,OLS_R4QPDsP0JVX,34.16,279.24,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.842030153251623,0.8939475806828239,0.05191742743120087
62,Naivasha.Richardson.1972,OLS_RFUFyYZUb0P,-0.68,36.33,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.007891691232149453,0.24471756739546988,0.23682587616332043
63,KettleHole.Collins.1968,OLS_Ro4FH6vkuLB,43.0,265.0,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.6171157821835664,0.03873065202544451,-0.578385130158122
64,PyramidLake.Benson.1990,pdRAD0OoGMqGUoHfFHZ,40.06,240.44,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,m,Shoreline,get_LakeStatus,0.7963275192918025,0.8478062579964389,0.051478738704636484
65,Wanum.GarrettJones.1979,OLS_Roe2Ri2GOD9,-6.63,146.78,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,-0.6595954551848221,-0.6429673888639647,0.01662806632085745
66,MakepeaceCedarSwamp.Newby.2000PaleoDIVER,pdRXoXk6qKsU102x2C4,41.93,289.23,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,m,LakeSediment,get_LakeStatus,-0.12523576113844553,0.2974169300126216,0.42265269115106713
67,LynchsCrater.Kershaw.1974,OLS_RFZ5ftnO2t2,-17.37,145.7,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.3266048454685151,0.43166899212749715,0.10506414665898206
