ky,lat,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
-9,-70,903,599,298,79,0,0,0,83,314,626,927,1052
-9,-80,947,547,151,0,0,0,0,0,159,572,971,1103
-9,-90,961,556,0,0,0,0,0,0,0,581,986,1120
-10,90,0,0,0,579,1021,1194,1038,595,0,0,0,0
-10,80,0,0,153,570,1006,1176,1022,586,158,0,0,0
-10,70,0,77,301,624,960,1122,975,641,311,79,0,0
-10,60,77,210,440,719,966,1076,982,739,455,216,78,39
-10,50,203,348,566,804,998,1080,1014,827,584,358,206,154
-10,40,339,480,674,869,1017,1078,1033,894,696,494,345,289
-10,30,473,600,762,911,1014,1055,1030,937,787,617,481,427
-10,20,599,704,827,927,986,1009,1002,953,854,724,609,559
-10,10,710,787,867,916,932,938,948,942,895,810,722,681
-10,0,804,848,880,879,855,845,869,903,909,872,817,787
-10,-10,877,884,867,816,755,731,767,839,895,910,892,874
-10,-20,927,895,827,729,636,600,647,750,854,920,943,940
-10,-30,953,879,762,622,503,458,511,639,787,905,969,983
-10,-40,956,839,674,497,360,310,366,512,696,863,972,1004
-10,-50,939,776,566,361,216,166,219,371,584,798,954,1007
-10,-60,909,694,440,218,82,42,83,224,455,714,924,1003
-10,-70,902,602,301,80,0,0,0,82,311,619,918,1046
-10,-80,946,550,153,0,0,0,0,0,158,566,962,1096
-10,-90,960,558,0,0,0,0,0,0,0,575,976,1113
-10,-90,960,558,0,0,0,0,0,0,0,575,976,1113
